travertine,石灰華
transept,翼廊
omniscience,全知
agronomic,農地経営学の
perforate,穴をあける
pantheistic,汎神論の
malodorous,悪臭のある
theocrat,神権政治家
magnanimity,雅量に富むこと
predestine,運命づける
pancreatitis,膵炎
satiety,飽満
belabor,くどくど論じる
hangdog,下劣な
retinitis,網膜炎
burgher,市民
amortize,償却する
reparative,修復の
bicarbonate,重炭酸塩
barrenness,不妊症
axillary,腋窩の
corneal,角膜の
libertine,放蕩者
inveigh,痛烈に非難する
braggadocio,大ぼら吹き
rhapsodize,熱狂的に語る
polychrome,多色彩の
nystagmus,眼振
temblor,地震
compadre,相棒
genuflect,片膝を曲げる
granuloma,肉芽腫
kinematics,運動学
insouciant,無頓着な
simpleton,馬鹿
pragmatics,語用論
verbiage,饒舌
bifurcate,二またに分かれる
fulminant,劇症型の
endemism,固有性
unquenchable,消すことのできない
butchery,虐殺
crapshoot,賭け
pendulous,ぶらさがった
fishmonger,魚屋
entwine,からみつく
brazier,金属製火鉢
indiscreet,無思慮な
deictic,直示的な
apoptosis,細胞の自死
adipose,動物性脂肪
disputation,論争
proboscis,象の鼻
interpolate,改竄する
folkways,習俗
exculpatory,弁明の
viscerally,内臓で
ectopic,異所性の
alopecia,脱毛症
prosthetist,補綴外科医
