contiguity,接近
senility,老衰
probationer,見習い生
tenuously,内容の乏しい様の
interlace,織り交ぜる
matriarchal,女家長の
flagrangly,目に余る様の
penumbra,半影
astigmatism,乱視
chlorinate,塩素で処理する
angiogenesis,血管新生
rentier,金利生活者
twiddle,ひねくり回す
roguish,ごろつきの
obeisance,お辞儀
regency,摂政政治
valorize,価値を指定する
expiratory,呼気の
barbiturate,精神安定剤
divestment,売却
funereal,しめやかな
enteric,腸の
beatitude,至福
vitiate,価値を低下させる
vermiculite,蛭石
homogenize,均質にする
apoplectic,卒中性の
fusillade,一斉射撃
pizzazz,元気
abutment,迫持受け
ventilate,空気を通す
potentate,主権者
rinderpest,牛疫
scurrilous,下品な
roughneck,不作法者
apostolate,使徒の職
embolism,塞栓症
enrapture,うっとりさせる
woebegone,悲しみに沈んだ
quintile,五文位点
articulatory,調音の
plebeian,庶民
abstainer,節約家
dissolute,自堕落な
blitzkrieg,電撃戦
carouse,痛飲する
anaemia,貧血
licentious,放蕩な
billowy,大波の
wisecrack,辛辣な言葉
rambler,漫遊する人
histrionics,演劇
profiteer,不当利得者
peripatetic,歩き回る
schmaltz,極端な感情主義
valedictory,告別の
convective,対流の
asinine,愚かな
spoilage,損傷物
haemorrhage,出血
