pentathlon,5種競技
regolith,表土
infiltrator,潜入者
prostatic,前立腺の
arbitrate,仲裁をする
rectilinear,直線の
peninsular,半島の
scofflaw,法律を馬鹿にする者
conjugation,結合
asphyxiate,窒息させる
hypoglycemia,低血糖
gantlet,搾線
deprave,悪くする
porcine,豚みたいな
teleology,目的論
reagent,試薬
intubate,挿管する
anadromous,昇流性の
orderliness,整頓
metathesis,音位転換
flippant,軽薄な
helical,螺旋状の
proneness,腹臥
ovulate,排卵する
tachycardia,頻拍
condescend,へりくだる
spongiform,海綿状の
flintlock,火打ち石銃
chancel,内陣
skewness,歪度
tenderize,柔らかくする
deflector,偏向器
narcolepsy,睡眠発作
suborbital,眼窩下の
anatomist,解剖学者
sweetbread,膵臓
credenza,食器棚
galvanize,電気をかけて刺激する
probiotic,生菌の
trifecta,三連勝単式
begrudgingly,しぶしぶ
lobotomy,脳葉切除
copayment,自己負担分
tractable,すなおな
inundation,氾濫
anodize,陽極酸化させる
gluteus,殿筋
epigenetic,後成的な
mordant,皮肉な
raconteur,話の上手い人
nutcase,狂人
criticality,臨界
sentience,直観
intermingle,混ぜ合わせる
kurtosis,尖度
remorseless,無慈悲な
lugubrious,悲しげな
slouchy,だらしない
zealotry,熱狂的行動
debridement,創傷切除
